 sep=;
5571; S.J.PI-PI230; 5681    # 02; E.MART-PI230; 772; TL; 51.8; 26.02; 199.0; 42.5; -29.5; 0.821 Ind; -41.9; 3.4; -; 0.6; -26.2; 
5571; S.J.PI-PI230; 8409    # 01; GRAVIO-PI230; 772; SWITCH; 135.1; 1.35; 9999.0; -134.5; 12.2; -; 134.5; -12.2; 0.996 Ind; 0.0; 0.0; 
5571; S.J.PI-PI230; 42344    # 01; SJPIT1-PI000; 772; OLTC; 58.6; 19.54; 300.0; 51.1; 28.7; 0.872 Cap; -51.1; -28.5; -; 0.0; 0.2; 
5571; S.J.PI-PI230; 44084    # 02; SJPIT2-PI000; 772; OLTC; 58.6; 19.54; 300.0; 51.1; 28.7; 0.872 Cap; -51.1; -28.5; -; 0.0; 0.2; 
5572; SJ-SB1CAP500; 6300    # 05; SOBRAD-BA500; 771; TL; 430.1; 24.83; 1732.0; 370.0; -219.2; 0.860 Ind; -367.2; 187.2; -; 2.8; -31.9; 
5574; SJ-BEACAP500; 5510    # 06; B.ESPE-PI500; 771; TL; 265.9; 15.35; 1732.0; -174.5; -200.6; -; 175.2; 4.7; 1.000 Cap; 0.7; -196.0; 
5576; RG-SJ2CAP500; 5570    # 04; S.J.PI-PI500; 771; TL; 252.7; 12.69; 1992.0; 209.4; -141.4; 0.829 Ind; -208.3; -38.8; -; 1.1; -180.3; 
5577; SJ-SB2CAP500; 6300    # 02; SOBRAD-BA500; 771; TL; 496.1; 24.91; 1992.0; 476.1; 62.5; 0.991 Cap; -472.7; -150.5; -; 3.4; -88.0; 
5620; CHAP3B-PI034; 5622    # 01; CHAP3BEOL065; 772; TL; 37.0; 0.37; 9999.0; -34.4; 13.7; -; 34.5; -13.0; 0.936 Ind; 0.1; 0.7; 
5630; EDWIGE-PI138; 5632    # 01; EDWIGE-PI034; 772; TRAFO; 37.1; 0.37; 9999.0; -35.2; 11.5; -; 35.3; -11.4; 0.951 Ind; 0.1; 0.1; 
5632; EDWIGE-PI034; 6019    # 01; EDWIGEEOL044; 772; TL; 38.0; 0.38; 9999.0; -35.3; 11.4; -; 35.6; -13.3; 0.937 Ind; 0.3; -1.9; 
5669; VERONI-PI138; 5670    # 01; VERONI-PI034; 772; TRAFO; 28.5; 0.29; 9999.0; -26.6; 10.3; -; 26.6; -9.5; 0.941 Ind; 0.0; 0.7; 
5670; VERONI-PI034; 5672    # 01; VERONIEOL033; 772; TL; 30.3; 0.30; 9999.0; -26.6; 9.5; -; 26.7; -14.3; 0.881 Ind; 0.1; -4.8; 
5671; PICOS--PI230; 5611    # 03; TAUA2--CE230; 772; TL; 32.0; 12.78; 250.0; 26.0; -18.6; 0.812 Ind; -25.7; -12.4; -; 0.2; -31.1; 
5671; PICOS--PI230; 5673    # 01; PICOS--PI069; 772; OLTC; 37.0; 36.98; 100.0; 33.2; 16.3; 0.898 Cap; -33.2; -14.6; -; 0.0; 1.7; 
5671; PICOS--PI230; 5673    # 03; PICOS--PI069; 772; OLTC; 18.8; 37.51; 50.0; 16.8; 8.3; 0.898 Cap; -16.8; -7.4; -; 0.0; 0.9; 
5671; PICOS--PI230; 5673    # 04; PICOS--PI069; 772; OLTC; 18.3; 46.98; 39.0; 16.5; 8.1; 0.898 Cap; -16.5; -7.2; -; 0.0; 0.8; 
5671; PICOS--PI230; 5674    # 02; PICT2--PI000; 772; OLTC; 11.8; 30.31; 39.0; 11.2; -3.2; 0.962 Ind; -11.2; 3.7; -; 0.0; 0.5; 
5671; PICOS--PI230; 6631    # 01; CHAPA2-PI230; 772; TL; 81.6; 25.92; 315.0; -80.4; -5.6; -; 81.5; -3.9; 0.999 Ind; 1.1; -9.5; 
5673; PICOS--PI069; 5674    # 02; PICT2--PI000; 773; TRAFO; 11.8; 35.82; 33.0; -11.2; 3.7; -; 11.2; -3.7; 0.949 Ind; 0.0; -0.0; 
5675; PICT2--PI013; 5674    # 02; PICT2--PI000; 772; TRAFO; 0.0; 0.00; 23.0; 0.0; 0.0; -; 0.0; 0.0; -; 0.0; 0.0; 
5677; TERES2-PI069; 8471    # 09; TSD-T9-PI000; 773; TRAFO; 27.9; 18.61; 150.0; -25.5; -11.4; -; 25.5; 11.3; 0.914 Cap; 0.0; -0.1; 
5677; TERES2-PI069; 8472    # 10; TSDT10-PI000; 773; TRAFO; 25.9; 17.25; 150.0; -25.3; -5.3; -; 25.3; 5.2; 0.979 Cap; 0.0; -0.0; 
5678; B.ESPE-PI069; 8356    # 01; BEA.PI-PI069; 773; SWITCH; 47.2; 0.47; 9999.0; 44.8; 14.7; 0.950 Cap; -44.8; -14.7; -; 0.0; 0.0; 
5678; B.ESPE-PI069; 8357    # 01; BEA.MA-PI069; 773; SWITCH; 19.5; 0.20; 9999.0; 18.4; 6.6; 0.941 Cap; -18.4; -6.6; -; 0.0; 0.0; 
5678; B.ESPE-PI069; 8473    # 05; BEA-T5-PI000; 773; TRAFO; 33.4; 33.37; 100.0; -31.6; -10.7; -; 31.6; 10.5; 0.949 Cap; 0.0; -0.1; 
5678; B.ESPE-PI069; 8474    # 06; BEA-T6-PI000; 773; TRAFO; 33.3; 33.32; 100.0; -31.6; -10.6; -; 31.6; 10.5; 0.949 Cap; 0.0; -0.1; 
5679; PNBIII-PI500; 5176    # 01; TIANGD-CE500; 761; TL; 75.3; 2.90; 2598.0; -47.1; -58.8; -; 47.2; -20.4; 0.918 Ind; 0.0; -79.2; 
5679; PNBIII-PI500; 5684    # 01; BACAB--MA500; 771; TL; 117.4; 4.52; 2598.0; 88.7; -77.0; 0.755 Ind; -88.5; -65.1; -; 0.1; -142.1; 
5679; PNBIII-PI500; 5684    # 02; BACAB--MA500; 771; TL; 116.1; 4.47; 2598.0; 89.9; -73.4; 0.775 Ind; -89.8; -61.4; -; 0.1; -134.8; 
5679; PNBIII-PI500; 7249    # 03; PNB5T1-PI000; 771; OLTC; 37.6; 6.27; 600.0; -34.3; 15.5; -; 34.3; -15.1; 0.916 Ind; 0.0; 0.4; 
5679; PNBIII-PI500; 7250    # 04; PNB5T2-PI000; 771; OLTC; 37.6; 6.27; 600.0; -34.3; 15.5; -; 34.3; -15.1; 0.916 Ind; 0.0; 0.4; 
5679; PNBIII-PI500; 9525    # 10; PNB3--CER020; 771; TRAFO; 85.5; 28.49; 300.0; 0.0; 85.5; -; 0.0; -82.9; -; 0.0; 2.6; 
5679; PNBIII-PI500; 44671    # 01; RSFRAN-PI500; 771; TL; 223.0; 8.58; 2598.0; -62.8; -214.0; -; 62.9; 47.6; 0.797 Cap; 0.1; -166.3; 
5681; E.MART-PI230; 5683    # 01; E.MART-PI069; 772; OLTC; 9.2; 18.32; 50.0; 9.2; -0.1; 1.000 Ind; -9.2; 0.3; -; 0.0; 0.2; 
5681; E.MART-PI230; 5683    # 02; E.MART-PI069; 772; OLTC; 9.3; 18.69; 50.0; 9.3; 0.1; 1.000 Cap; -9.3; 0.1; -; 0.0; 0.2; 
5681; E.MART-PI230; 9526    # 03; EMART-CER006; 772; TRAFO; 3.2; 8.07; 40.0; 0.0; 3.2; -; 0.0; -3.2; -; 0.0; 0.0; 
5699; LVENT3-PI500; 7900    # 01; ROQUE1-PI034; 771; TRAFO; 61.7; 0.62; 9999.0; -59.2; 17.3; -; 59.2; -14.7; 0.971 Ind; 0.0; 2.6; 
5699; LVENT3-PI500; 7901    # 01; ROQUE2-PI034; 771; TRAFO; 61.7; 0.62; 9999.0; -59.2; 17.3; -; 59.2; -14.7; 0.971 Ind; 0.0; 2.6; 
5734; PNBIII-PI230; 7249    # 03; PNB5T1-PI000; 772; TRAFO; 37.5; 6.25; 600.0; 34.3; -15.1; 0.915 Ind; -34.3; 15.1; -; 0.0; -0.1; 
5734; PNBIII-PI230; 7250    # 04; PNB5T2-PI000; 772; TRAFO; 37.5; 6.25; 600.0; 34.3; -15.1; 0.915 Ind; -34.3; 15.1; -; 0.0; -0.1; 
5734; PNBIII-PI230; 44130    # 01; PNB4T1-PI000; 772; OLTC; 37.5; 25.01; 150.0; -34.3; 15.1; -; 34.3; -13.8; 0.928 Ind; 0.0; 1.3; 
5734; PNBIII-PI230; 44132    # 02; PNB4T2-PI000; 772; OLTC; 37.5; 25.01; 150.0; -34.3; 15.1; -; 34.3; -13.8; 0.928 Ind; 0.0; 1.3; 
5737; PNBIII-PI138; 44130    # 01; PNB4T1-PI000; 773; TRAFO; 37.1; 24.74; 150.0; 34.3; -14.0; 0.926 Ind; -34.3; 13.8; -; 0.0; -0.2; 
5737; PNBIII-PI138; 44132    # 02; PNB4T2-PI000; 773; TRAFO; 37.1; 24.74; 150.0; 34.3; -14.0; 0.926 Ind; -34.3; 13.8; -; 0.0; -0.2; 
5818; SGON-1UFV242; 8189    # 01; SGON-1-PI034; 771; TL; 66.1; 0.66; 9999.0; 66.1; -0.0; 1.000; -66.0; -2.8; -; 0.1; -2.8; 
5841; PACABA-CE500; 5370    # 01; PECEM2-CE500; 761; TL; 385.3; 15.05; 2560.0; -137.2; -360.1; -; 137.6; 257.0; 0.472 Cap; 0.4; -103.1; 
5841; PACABA-CE500; 5853    # 01; PACABA-CE230; 761; OLTC; 93.6; 15.60; 600.0; 87.9; 32.1; 0.939 Cap; -87.9; -30.1; -; 0.0; 2.0; 
5841; PACABA-CE500; 5853    # 02; PACABA-CE230; 761; OLTC; 93.6; 15.60; 600.0; 87.9; 32.1; 0.939 Cap; -87.9; -30.1; -; 0.0; 2.0; 
5841; PACABA-CE500; 5924    # 01; JAGUAD-CE500; 761; TL; 392.5; 15.10; 2600.0; -386.7; -67.1; -; 388.3; -6.1; 1.000 Ind; 1.5; -73.1; 
5924; JAGUAD-CE500; 5350    # 01; ACU3---RN500; 761; TL; 248.8; 9.57; 2600.0; -232.7; -88.1; -; 233.1; 49.1; 0.979 Cap; 0.4; -38.9; 
5924; JAGUAD-CE500; 5925    # 01; JAGUAD-CE230; 761; OLTC; 81.2; 10.82; 750.0; -77.8; -21.9; -; 77.8; 23.2; 0.958 Cap; 0.0; 1.2; 
5924; JAGUAD-CE500; 5925    # 02; JAGUAD-CE230; 761; OLTC; 81.2; 10.82; 750.0; -77.8; -21.9; -; 77.8; 23.2; 0.958 Cap; 0.0; 1.2; 
5924; JAGUAD-CE500; 5929    # 01; JAGUADCER013; 761; TRAFO; 19.2; 6.41; 300.0; 0.0; -19.0; -; 0.0; 19.2; -; 0.0; 0.2; 
6011; IBIAPI-CE230; 5491    # 01; PIRIPI-PI230; 772; TL; 23.3; 11.73; 199.0; 18.4; 0.1; 1.000 Cap; -18.4; -14.4; -; 0.1; -14.3; 
6017; SBASIL-PI230; 6018    # 01; SBASIL-PI138; 772; TRAFO; 69.2; 0.69; 9999.0; -62.0; 30.6; -; 62.0; -27.9; 0.912 Ind; 0.0; 2.8; 
6017; SBASIL-PI230; 6018    # 02; SBASIL-PI138; 772; TRAFO; 69.2; 0.69; 9999.0; -62.0; 30.6; -; 62.0; -27.9; 0.912 Ind; 0.0; 2.8; 
6018; SBASIL-PI138; 5298    # 01; FASEIIEOL077; 772; TRAFO; 71.3; 0.71; 9999.0; -62.3; 34.6; -; 62.3; -31.4; 0.893 Ind; 0.0; 3.2; 
6018; SBASIL-PI138; 5630    # 01; EDWIGE-PI138; 772; TL; 37.0; 0.37; 9999.0; -35.2; 11.4; -; 35.2; -11.5; 0.950 Ind; 0.0; -0.1; 
6018; SBASIL-PI138; 5669    # 01; VERONI-PI138; 772; TL; 28.5; 0.29; 9999.0; -26.6; 9.7; -; 26.6; -10.3; 0.933 Ind; 0.0; -0.6; 
6098; RGO-T1-PI000; 5432    # 01; RGONCA-PI069; 772; TRAFO; 1.3; 2.64; 50.0; 1.3; 0.1; 0.996 Cap; -1.3; -0.1; -; 0.0; 0.0; 
6098; RGO-T1-PI000; 6099    # 01; RGO-T1-PI013; 772; TRAFO; 0.0; 0.00; 1.0; 0.0; 0.0; -; 0.0; 0.0; -; 0.0; 0.0; 
6631; CHAPA2-PI230; 5305    # 01; CHAPA3-PI230; 772; TL; 23.9; 7.60; 315.0; -7.6; -22.7; -; 7.6; 20.1; 0.354 Cap; 0.0; -2.6; 
6631; CHAPA2-PI230; 6632    # 01; CHAP-1-PI034; 772; TRAFO; 37.8; 31.51; 120.0; -35.3; 13.6; -; 35.3; -11.9; 0.947 Ind; 0.0; 1.6; 
6631; CHAPA2-PI230; 6639    # 01; CHAP-2-PI034; 772; TRAFO; 28.4; 23.70; 120.0; -25.9; 11.7; -; 25.9; -10.8; 0.924 Ind; 0.0; 0.9; 
6632; CHAP-1-PI034; 6647    # 01; CP21.8EOL064; 772; TL; 37.3; 0.37; 9999.0; -35.3; 11.9; -; 35.5; -11.3; 0.953 Ind; 0.2; 0.7; 
6639; CHAP-2-PI034; 6648    # 01; CP21.7EOL051; 772; TL; 28.1; 0.28; 9999.0; -25.9; 10.8; -; 26.0; -10.2; 0.930 Ind; 0.1; 0.5; 
6640; CURRAL-PI500; 5325    # 01; QUEIMA-PI500; 771; TL; 310.0; 12.43; 2494.0; 263.1; -164.0; 0.849 Ind; -262.6; 80.1; -; 0.4; -83.9; 
6640; CURRAL-PI500; 5380    # 04; MLG2---CE500; 771; TL; 325.5; 16.34; 1992.0; 68.1; -318.3; 0.209 Ind; -67.8; 71.5; -; 0.3; -246.7; 
6640; CURRAL-PI500; 44527    # 04; CNP-T4-PI000; 771; OLTC; 427.7; 71.28; 600.0; -109.8; -371.8; -; 109.8; 413.3; 0.257 Cap; 0.0; 41.6; 
6641; CURRAL-PI230; 5303    # 03; CHAPA1-PI230; 772; TL; 48.3; 0.48; 9999.0; 6.2; 39.3; 0.157 Cap; -6.0; -48.0; -; 0.2; -8.7; 
6641; CURRAL-PI230; 5305    # 02; CHAPA3-PI230; 772; TL; 32.8; 11.55; 284.0; 4.7; 19.0; 0.242 Cap; -4.6; -32.5; -; 0.1; -13.5; 
6641; CURRAL-PI230; 6017    # 04; SBASIL-PI230; 772; TL; 69.2; 0.69; 9999.0; -61.8; 7.8; -; 62.0; -30.6; 0.897 Ind; 0.2; -22.9; 
6641; CURRAL-PI230; 6017    # 05; SBASIL-PI230; 772; TL; 69.2; 0.69; 9999.0; -61.8; 7.8; -; 62.0; -30.6; 0.897 Ind; 0.2; -22.9; 
6641; CURRAL-PI230; 6640    # 01; CURRAL-PI500; 772; OLTC; 222.9; 37.15; 600.0; 92.2; -189.9; 0.437 Ind; -92.2; 202.9; -; 0.0; 13.0; 
6641; CURRAL-PI230; 6640    # 02; CURRAL-PI500; 772; OLTC; 222.9; 37.15; 600.0; 92.2; -189.9; 0.437 Ind; -92.2; 202.9; -; 0.0; 13.0; 
6641; CURRAL-PI230; 6640    # 03; CURRAL-PI500; 772; OLTC; 264.2; 44.03; 600.0; 107.3; -226.1; 0.429 Ind; -107.2; 241.5; -; 0.1; 15.4; 
6641; CURRAL-PI230; 6665    # 06; ARA3---PI230; 772; TL; 137.0; 36.04; 380.0; -106.0; 81.0; -; 106.6; -86.0; 0.778 Ind; 0.6; -5.1; 
6641; CURRAL-PI230; 7257    # 01; VPII---PI230; 772; TL; 64.1; 0.64; 9999.0; -61.6; 17.0; -; 61.6; -17.7; 0.961 Ind; 0.0; -0.7; 
6641; CURRAL-PI230; 7271    # 01; VPIII--PI230; 772; TL; 62.6; 0.63; 9999.0; -60.2; 15.5; -; 60.3; -16.9; 0.963 Ind; 0.1; -1.5; 
6641; CURRAL-PI230; 44527    # 04; CNP-T4-PI000; 772; TRAFO; 427.7; 71.28; 600.0; 109.8; 409.8; 0.259 Cap; -109.8; -413.3; -; 0.0; -3.5; 
6651; TRT-T1-PI000; 5323    # 01; TRT----PI069; 772; TRAFO; 71.3; 35.66; 200.0; 67.2; 24.0; 0.942 Cap; -67.1; -20.9; -; 0.1; 3.1; 
6651; TRT-T1-PI000; 6652    # 01; TRT-T1-PI013; 772; TRAFO; 0.0; 0.00; 2.0; 0.0; 0.0; -; 0.0; 0.0; -; 0.0; 0.0; 
6665; ARA3---PI230; 6670    # 01; AR3T11-PI000; 772; TRAFO; 69.6; 0.70; 9999.0; -53.3; 44.0; -; 53.3; -44.7; 0.766 Ind; 0.0; -0.8; 
6665; ARA3---PI230; 6671    # 01; ARA3T2-PI000; 772; TRAFO; 67.9; 0.68; 9999.0; -53.2; 42.1; -; 53.2; -41.5; 0.789 Ind; 0.0; 0.6; 
6666; ARA3-C-PI034; 6672    # 01; ARA3C-EOL041; 772; TL; 34.5; 0.35; 9999.0; -28.0; 20.1; -; 28.2; -19.3; 0.825 Ind; 0.2; 0.8; 
6666; ARA3-C-PI034; 44893    # 01; AR3T12-PI000; 772; TRAFO; 35.3; 29.43; 120.0; 28.0; -20.1; 0.813 Ind; -28.0; 21.5; -; 0.0; 1.4; 
6667; ARA3-D-PI034; 6673    # 01; ARA3D-EOL037; 772; TL; 32.8; 0.33; 9999.0; -25.3; 20.8; -; 25.5; -20.0; 0.786 Ind; 0.2; 0.8; 
6667; ARA3-D-PI034; 44894    # 01; AR3T13-PI000; 772; TRAFO; 33.6; 27.97; 120.0; 25.3; -20.8; 0.772 Ind; -25.3; 22.1; -; 0.0; 1.2; 
6668; ARA3-B-PI034; 6674    # 01; ARA3B-EOL037; 772; TL; 31.9; 0.32; 9999.0; -25.4; 19.4; -; 25.5; -18.6; 0.807 Ind; 0.1; 0.8; 
6669; ARA3-A-PI034; 6675    # 01; ARA3A-EOL041; 772; TL; 34.1; 0.34; 9999.0; -27.9; 19.7; -; 28.0; -18.9; 0.829 Ind; 0.1; 0.9; 
6670; AR3T11-PI000; 44893    # 01; AR3T12-PI000; 772; TRAFO; 37.1; 0.37; 9999.0; -28.5; 23.8; -; 28.5; -23.2; 0.776 Ind; 0.0; 0.6; 
6670; AR3T11-PI000; 44895    # 01; AR3T14-PI000; 772; TRAFO; 32.5; 0.32; 9999.0; -24.8; 20.9; -; 24.8; -20.8; 0.766 Ind; 0.0; 0.1; 
6671; ARA3T2-PI000; 6668    # 01; ARA3-B-PI034; 772; TRAFO; 32.6; 0.33; 9999.0; -25.4; 20.5; -; 25.4; -19.4; 0.794 Ind; 0.0; 1.1; 
6671; ARA3T2-PI000; 6669    # 01; ARA3-A-PI034; 772; TRAFO; 34.9; 0.35; 9999.0; -27.9; 21.0; -; 27.9; -19.7; 0.817 Ind; 0.0; 1.3; 
6705; CHAPNH-PI230; 6641    # 07; CURRAL-PI230; 772; TL; 61.8; 22.30; 277.0; 61.1; -8.9; 0.989 Ind; -61.1; 8.9; -; 0.0; -0.1; 
6705; CHAPNH-PI230; 6706    # 01; CHAPN1-PI034; 772; OLTC; 26.4; 22.04; 120.0; -26.2; 3.6; -; 26.2; -2.8; 0.994 Ind; 0.0; 0.8; 
6705; CHAPNH-PI230; 6707    # 01; CHAPN2-PI034; 772; OLTC; 35.3; 29.45; 120.0; -34.9; 5.4; -; 34.9; -4.0; 0.994 Ind; 0.0; 1.4; 
6708; VSVB1-EOL042; 6706    # 01; CHAPN1-PI034; 772; TL; 26.9; 0.27; 9999.0; 26.4; -5.2; 0.981 Ind; -26.2; 2.8; -; 0.2; -2.4; 
6709; VSVB2-EOL056; 6707    # 01; CHAPN2-PI034; 772; TL; 35.9; 0.36; 9999.0; 35.2; -7.1; 0.980 Ind; -34.9; 4.0; -; 0.3; -3.2; 
6743; NOLIND-PI500; 6744    # 01; NOLNB1-PI034; 771; TRAFO; 55.6; 39.75; 140.0; -47.1; 29.6; -; 47.1; -26.7; 0.870 Ind; 0.0; 2.8; 
6743; NOLIND-PI500; 6745    # 01; NOLNB2-PI034; 771; TRAFO; 55.2; 39.43; 140.0; -47.1; 28.7; -; 47.1; -26.0; 0.876 Ind; 0.0; 2.8; 
6744; NOLNB1-PI034; 6746    # 01; NOLN08UFV112; 771; TL; 55.3; 0.55; 9999.0; -47.1; 26.7; -; 47.2; -28.9; 0.853 Ind; 0.1; -2.2; 
6745; NOLNB2-PI034; 6747    # 01; NOLN12UFV112; 771; TL; 55.2; 0.55; 9999.0; -47.1; 26.0; -; 47.2; -28.6; 0.855 Ind; 0.1; -2.7; 
7181; B.JESU-PI230; 5681    # 03; E.MART-PI230; 772; TL; 28.8; 11.02; 261.0; -23.3; -16.9; -; 23.4; -6.6; 0.962 Ind; 0.1; -23.6; 
7181; B.JESU-PI230; 44027    # 01; BJE-T1-PI000; 772; OLTC; 5.9; 11.71; 50.0; 5.7; 1.3; 0.974 Cap; -5.7; -1.2; -; 0.0; 0.1; 
7181; B.JESU-PI230; 44029    # 02; BJE-T2-PI000; 772; OLTC; 5.9; 11.71; 50.0; 5.7; 1.3; 0.974 Cap; -5.7; -1.2; -; 0.0; 0.1; 
7183; B.JESU-PI069; 44027    # 01; BJE-T1-PI000; 773; TRAFO; 5.8; 11.67; 50.0; -5.7; -1.3; -; 5.7; 1.2; 0.977 Cap; 0.0; -0.0; 
7183; B.JESU-PI069; 44029    # 02; BJE-T2-PI000; 773; TRAFO; 5.8; 11.67; 50.0; -5.7; -1.3; -; 5.7; 1.2; 0.977 Cap; 0.0; -0.0; 
7190; GILBU2-PI500; 7191    # 01; GILBUE-PI230; 771; OLTC; 22.7; 9.06; 250.0; 9.9; -20.1; 0.441 Ind; -9.9; 20.4; -; 0.0; 0.3; 
7190; GILBU2-PI500; 8188    # 04; S.GONC-PI500; 771; TL; 359.5; 3.60; 9999.0; -354.5; -60.1; -; 354.9; 14.6; 0.999 Cap; 0.4; -45.5; 
7191; GILBUE-PI230; 7181    # 01; B.JESU-PI230; 772; TL; 18.2; 5.57; 327.0; -11.8; -13.9; -; 11.9; -10.7; 0.741 Ind; 0.0; -24.6; 
7191; GILBUE-PI230; 44035    # 01; GID-T1-PI000; 772; OLTC; 11.4; 22.89; 50.0; 10.9; -3.3; 0.958 Ind; -10.9; 3.6; -; 0.0; 0.4; 
7191; GILBUE-PI230; 44037    # 02; GID-T2-PI000; 772; OLTC; 11.4; 22.89; 50.0; 10.9; -3.3; 0.958 Ind; -10.9; 3.6; -; 0.0; 0.4; 
7193; GILBUE-PI069; 44035    # 01; GID-T1-PI000; 773; TRAFO; 11.4; 22.89; 50.0; -10.8; 3.6; -; 10.9; -3.6; 0.948 Ind; 0.0; -0.0; 
7193; GILBUE-PI069; 44037    # 02; GID-T2-PI000; 773; TRAFO; 11.4; 22.89; 50.0; -10.8; 3.6; -; 10.9; -3.6; 0.948 Ind; 0.0; -0.0; 
7197; GB-BR-CAP500; 6446    # 02; BR-GB-CAP500; 771; TL; 1114.4; 38.13; 2923.0; 1097.9; -190.9; 0.985 Ind; -1078.6; 172.0; -; 19.4; -18.8; 
7251; PNB5T1-PI013; 7249    # 03; PNB5T1-PI000; 771; TRAFO; 0.0; 0.00; 67.2; 0.0; 0.0; -; 0.0; 0.0; -; 0.0; 0.0; 
7252; PNB5T2-PI013; 7250    # 04; PNB5T2-PI000; 771; TRAFO; 0.0; 0.00; 67.2; 0.0; 0.0; -; 0.0; 0.0; -; 0.0; 0.0; 
7257; VPII---PI230; 7258    # 01; VPII---PI000; 772; TRAFO; 64.1; 0.64; 9999.0; -61.6; 17.7; -; 61.6; -17.6; 0.961 Ind; 0.0; 0.1; 
7258; VPII---PI000; 7259    # 01; VPII1--PI034; 772; TRAFO; 30.0; 0.30; 9999.0; -28.9; 8.2; -; 28.9; -7.7; 0.967 Ind; 0.0; 0.5; 
7258; VPII---PI000; 7260    # 01; VPII2--PI034; 772; TRAFO; 34.0; 0.34; 9999.0; -32.7; 9.4; -; 32.7; -8.7; 0.966 Ind; 0.0; 0.7; 
7259; VPII1--PI034; 7269    # 01; VPII--EOL022; 772; TL; 29.9; 0.30; 9999.0; -28.9; 7.7; -; 29.0; -7.2; 0.971 Ind; 0.1; 0.5; 
7260; VPII2--PI034; 7270    # 01; VPII--EOL025; 772; TL; 34.0; 0.34; 9999.0; -32.7; 8.7; -; 33.0; -8.2; 0.970 Ind; 0.3; 0.5; 
7271; VPIII--PI230; 7272    # 01; VPIII--PI000; 772; TRAFO; 62.6; 0.63; 9999.0; -60.3; 16.9; -; 60.3; -16.9; 0.963 Ind; 0.0; 0.1; 
7272; VPIII--PI000; 7273    # 01; VPIII1-PI034; 772; TRAFO; 28.5; 0.29; 9999.0; -27.5; 7.8; -; 27.5; -7.3; 0.966 Ind; 0.0; 0.5; 
7272; VPIII--PI000; 7274    # 01; VPIII2-PI034; 772; TRAFO; 34.1; 0.34; 9999.0; -32.8; 9.1; -; 32.8; -8.4; 0.969 Ind; 0.0; 0.7; 
7273; VPIII1-PI034; 7275    # 01; VPIII-EOL021; 772; TL; 28.5; 0.29; 9999.0; -27.5; 7.3; -; 27.7; -6.9; 0.970 Ind; 0.2; 0.4; 
7274; VPIII2-PI034; 7276    # 01; VPIII-EOL025; 772; TL; 33.9; 0.34; 9999.0; -32.8; 8.4; -; 33.0; -7.9; 0.973 Ind; 0.2; 0.5; 
7900; ROQUE1-PI034; 7902    # 01; ROQUE1EOL036; 771; TL; 61.7; 0.62; 9999.0; -59.2; 14.7; -; 59.4; -16.8; 0.962 Ind; 0.2; -2.1; 
7901; ROQUE2-PI034; 7903    # 01; ROQUE2EOL036; 771; TL; 61.7; 0.62; 9999.0; -59.2; 14.7; -; 59.4; -16.8; 0.962 Ind; 0.2; -2.1; 
7961; TGD-T1-CE013; 7959    # 01; TGD-T1-CE000; 761; TRAFO; 0.0; 0.00; 2.0; 0.0; 0.0; -; 0.0; 0.0; -; 0.0; 0.0; 
7962; TGD-T2-CE013; 7960    # 02; TGD-T2-CE000; 761; TRAFO; 0.0; 0.00; 2.0; 0.0; 0.0; -; 0.0; 0.0; -; 0.0; 0.0; 
7997; UFVRG2-PI034; 7998    # 01; RGONC2UFV038; 772; TL; 57.6; 0.58; 9999.0; -57.0; 4.2; -; 57.2; -6.5; 0.994 Ind; 0.2; -2.3; 
